"0","26","844"
"1","21","386"
"2","3","169"
"3","53","418"
"4","56","601"
"5","55","330"
"6","3","790"
"7","39","334"
"8","54","769"
"9","22","412"
"10","55","817"
"11","15","643"
"12","23","929"
"13","52","100"
"14","58","655"
"15","39","553"
"16","4","104"
"17","10","749"
"18","37","792"
"19","57","628"
"20","8","352"
"21","5","421"
"22","51","398"
"23","5","878"
"24","46","925"
"25","32","123"
"26","9","382"
"27","25","609"
"28","50","176"
"29","45","624"
"30","40","597"
"31","11","802"
"32","48","657"
"33","21","174"
"34","36","148"
"35","12","162"
"36","53","604"
"37","18","20"
"38","23","374"
"39","22","626"
"40","41","753"
"41","51","21"
"42","25","680"
"43","24","250"
"44","53","404"
"45","48","946"
"46","9","324"
"47","12","114"
"48","3","735"
"49","59","460"
"50","13","643"
"51","23","25"
"52","59","869"
"53","59","857"
"54","1","40"
"55","47","260"
"56","44","845"
"57","5","574"
"58","16","186"
"59","7","863"
"60","56","448"
"61","20","682"
"62","47","824"
"63","7","737"
"64","25","595"
"65","1","160"
"66","0","188"
"67","49","231"
"68","44","279"
"69","32","524"
"70","57","310"
"71","14","238"
"72","39","685"
"73","37","292"
"74","50","335"
"75","11","932"
"76","54","396"
"77","30","858"
"78","15","996"
"79","29","267"
"80","39","14"
"81","16","824"
"82","31","424"
"83","14","266"
"84","23","834"
"85","24","197"
"86","27","755"
"87","39","334"
"88","7","29"
"89","29","169"
"90","50","422"
"91","53","378"
"92","23","584"
"93","45","930"
"94","59","395"
"95","24","728"
"96","56","466"
"97","52","621"
"98","39","867"
"99","37","233"
"100","55","490"
"101","13","168"
"102","48","647"
"103","11","485"
"104","3","372"
"105","35","288"
"106","22","896"
"107","28","380"
"108","2","825"
"109","30","817"
"110","0","985"
"111","26","316"
"112","6","854"
"113","17","834"
"114","13","37"
"115","29","983"
"116","27","733"
"117","44","656"
"118","2","106"
"119","51","657"
"120","27","139"
"121","8","900"
"122","5","287"
"123","11","644"
"124","49","876"
"125","26","57"
"126","52","674"
"127","18","610"
"128","57","839"
"129","59","273"
"130","50","719"
"131","45","251"
"132","34","487"
"133","28","92"
"134","13","436"
"135","1","266"
"136","54","185"
"137","40","561"
"138","47","708"
"139","10","256"
"140","15","352"
"141","13","73"
"142","9","333"
"143","7","64"
"144","8","974"
"145","3","609"
"146","16","330"
"147","2","707"
"148","37","373"
"149","50","215"
"150","51","538"
"151","22","335"
"152","35","151"
"153","31","687"
"154","1","791"
"155","10","809"
"156","29","465"
"157","4","522"
"158","24","33"
"159","12","716"
"160","42","484"
"161","54","370"
"162","19","481"
"163","31","11"
"164","22","236"
"165","15","440"
"166","36","165"
"167","48","994"
"168","55","324"
"169","38","574"
"170","17","525"
"171","58","882"
"172","57","730"
"173","4","163"
"174","6","889"
