"0","6","5","212.61","182","1","1970-11-03 02:41:08"
"0","6","142","177.73","594","1","2006-10-10 03:20:10"
"0","6","11","471.04","14","1","2012-10-29 20:52:33"
"0","6","19","389.54","537","0","1971-08-08 02:57:48"
"0","6","172","379.83","103","1","1979-09-03 17:15:03"
"0","6","151","470.70","219","1","1986-09-02 20:04:33"
"0","6","92","143.20","877","0","2010-02-01 19:09:47"
"0","6","36","253.55","570","1","2015-11-16 14:04:28"
"0","6","89","282.13","232","0","1974-10-25 15:50:40"
"0","6","47","150.44","558","1","1989-04-24 06:10:55"
"0","6","141","414.96","430","1","1993-10-05 19:49:26"
"0","6","49","8.17","815","0","1997-08-10 11:30:50"
"0","6","115","500.30","95","1","1998-05-13 22:13:36"
"0","6","10","332.42","815","0","1989-03-04 19:07:18"
"0","6","104","349.93","644","1","1970-04-25 13:12:17"
"0","6","3","150.40","303","1","1980-10-09 09:31:08"
"0","6","150","320.67","359","1","1981-06-16 11:05:00"
"0","6","102","200.39","187","1","2016-04-07 09:36:03"
"0","6","118","174.61","858","0","1991-10-23 23:51:04"
"0","6","137","338.38","837","0","2002-04-19 20:51:26"
"0","6","66","342.64","700","0","1995-08-09 08:22:46"
"0","6","173","303.97","999","1","1975-06-13 00:39:50"
"0","6","157","12.19","497","0","1970-01-23 21:55:40"
"0","6","111","386.12","536","0","1998-03-23 06:13:04"
"0","6","39","403.09","773","0","1999-06-14 02:03:55"
"0","6","103","331.72","344","1","1974-12-26 13:53:10"
"1","11","137","338.38","706","0","2001-02-20 00:09:43"
"1","11","173","303.97","87","0","2008-09-06 18:04:12"
"2","2","172","379.83","315","0","1973-07-03 03:40:04"
"2","2","33","471.75","450","0","1982-03-25 16:24:53"
"2","2","77","289.35","334","0","1991-08-27 01:01:56"
"3","64","142","177.73","776","0","1980-08-05 13:45:04"
"3","64","172","379.83","979","1","2017-11-05 21:13:10"
"3","64","122","244.03","193","0","2005-07-24 05:44:03"
"3","64","127","87.94","248","0","1992-01-15 16:52:20"
"3","64","80","457.99","557","0","2017-02-18 17:44:04"
"3","64","90","136.03","729","1","2016-07-11 05:24:40"
"3","64","140","54.79","530","1","2007-04-26 00:02:30"
"3","64","49","8.17","28","1","2008-09-02 05:32:39"
"3","64","132","101.76","874","1","1978-05-24 16:48:34"
"3","64","106","77.83","472","1","2000-04-25 04:20:05"
"3","64","32","264.37","838","1","1992-07-16 01:25:41"
"3","64","94","313.45","921","0","1997-02-20 06:57:36"
"3","64","19","389.54","123","1","2010-04-04 17:47:12"
"3","64","56","474.70","134","1","1975-05-15 00:30:54"
"3","64","0","3.65","588","1","1993-07-08 05:46:29"
"3","64","10","332.42","920","0","1970-09-12 16:33:26"
"3","64","157","12.19","317","0","2010-02-21 14:37:15"
"3","64","163","9.63","865","0","1978-05-21 10:26:10"
"3","64","45","9.68","893","1","2013-07-27 16:22:20"
"3","64","46","258.51","264","1","2018-10-06 01:27:39"
"3","64","123","246.07","652","1","2015-02-04 06:15:44"
"4","63","62","123.30","245","1","1987-06-08 00:08:50"
"4","63","69","364.22","806","0","1977-12-21 01:08:06"
"4","63","40","354.20","345","1","1998-02-21 14:09:42"
"4","63","131","272.61","844","0","2015-09-18 10:34:26"
"4","63","98","105.14","641","1","1988-08-15 15:50:54"
"4","63","59","66.81","421","0","2021-10-21 03:00:28"
"4","63","106","77.83","830","1","1999-05-30 17:43:50"
"4","63","28","347.98","959","1","1971-06-10 00:52:04"
"4","63","0","3.65","367","1","1991-02-28 19:36:48"
"4","63","123","246.07","825","1","1972-02-14 16:28:31"
"4","63","74","320.86","240","1","1992-10-20 04:29:42"
"4","63","169","269.77","846","0","1996-11-29 13:23:31"
"4","63","135","419.76","727","1","2016-06-19 18:01:48"
"4","63","25","421.19","217","0","1998-08-29 14:23:13"
"4","63","29","263.94","905","1","2004-11-11 13:59:59"
"4","63","16","483.95","599","1","1982-11-25 04:20:42"
"4","63","7","58.40","612","0","2009-03-02 22:37:24"
"4","63","61","281.59","564","0","2012-02-16 10:09:44"
"4","63","99","423.99","99","0","1977-08-27 18:33:29"
"4","63","75","211.97","621","1","1982-08-29 01:10:23"
"4","63","27","181.44","735","1","2007-05-03 11:37:18"
"4","63","152","387.94","1","0","1979-05-10 01:58:47"
"4","63","5","212.61","485","1","2016-12-31 18:21:00"
"4","63","1","302.12","668","0","1985-02-12 03:31:35"
"4","63","87","327.30","907","0","2019-06-18 02:32:22"
"4","63","67","215.71","786","0","1972-02-18 18:11:13"
"4","63","26","263.27","572","1","1994-11-18 17:41:50"
"4","63","23","161.17","14","0","1976-05-10 21:23:33"
"4","63","33","471.75","956","1","1980-11-14 06:11:29"
"4","63","166","305.88","166","0","1974-05-12 03:54:32"
"5","55","41","456.97","607","1","2001-07-14 20:18:19"
"5","55","150","320.67","750","0","2004-08-07 04:02:33"
"5","55","136","495.48","859","1","2010-11-11 10:33:13"
"5","55","73","142.06","684","1","1982-09-13 15:40:16"
"5","55","57","73.60","945","1","1994-07-03 15:49:17"
"5","55","85","377.92","385","1","2000-06-11 09:17:31"
"5","55","90","136.03","595","1","1975-01-09 11:10:45"
"5","55","146","73.42","580","1","2002-12-10 19:22:29"
"6","86","146","73.42","436","0","2020-10-06 20:54:57"
"6","86","173","303.97","806","1","1982-01-22 05:48:41"
"6","86","46","258.51","510","0","1971-09-19 00:30:15"
"6","86","109","273.84","859","0","1976-10-30 05:24:04"
"6","86","126","2.29","575","0","1986-04-28 03:08:39"
"6","86","58","156.22","43","1","1977-01-14 00:38:39"
"6","86","34","126.24","234","1","2001-01-14 22:10:52"
"6","86","9","127.04","544","1","1981-02-20 05:21:56"
"6","86","115","500.30","842","0","2016-06-30 16:32:24"
"7","79","83","367.96","7","0","2015-03-04 19:18:19"
"7","79","165","422.52","165","0","2010-12-24 14:28:27"
"7","79","163","9.63","211","0","1995-12-17 22:33:59"
"7","79","154","278.20","434","0","2010-01-13 19:24:57"
"8","46","121","49.96","384","0","1987-01-26 04:35:03"
"8","46","150","320.67","534","1","1983-08-07 18:14:36"
"8","46","90","136.03","393","1","2015-08-10 15:50:53"
"8","46","92","143.20","789","1","2007-07-01 00:29:06"
"8","46","110","71.96","995","0","2020-03-17 14:09:45"
"8","46","16","483.95","860","0","2007-10-18 19:22:21"
"8","46","167","248.39","438","1","1986-09-24 01:51:54"
"8","46","83","367.96","409","1","2012-03-14 01:24:17"
"8","46","113","238.01","720","0","1989-09-08 03:24:25"
"8","46","8","51.47","647","0","2017-04-22 07:08:49"
"8","46","143","415.29","625","1","2008-12-09 09:15:58"
"8","46","65","9.33","897","1","1998-01-05 03:00:52"
"8","46","67","215.71","47","1","2015-12-16 10:46:21"
"8","46","162","442.78","108","1","1986-11-10 09:34:57"
"8","46","40","354.20","953","1","2009-10-04 11:52:44"
"8","46","169","269.77","701","1","2010-08-18 04:58:48"
"8","46","145","191.79","650","1","2005-05-23 05:48:56"
"8","46","107","145.30","269","1","1986-07-12 23:58:38"
"8","46","116","45.69","169","1","2001-07-01 20:34:56"
"8","46","96","365.11","904","1","1993-01-05 09:14:19"
"8","46","22","42.17","561","0","1997-03-02 13:47:16"
"8","46","2","175.42","780","1","2002-11-22 04:10:16"
