0,0,553,earring,,308.11,IMAGELINKHERE,kBZgNDumLrmlGfAIaAtkZfCYBpPePqEkCCCkJWpHOpjxggpvlahmJrUsjMThvBnwrMTGdx
1,1,98,water bottle,,83.69,IMAGELINKHERE,jNMebGIkKvyTFPlfHakLlMlREAijGZBkkxEpzLCRQkJKIrWzwLkwXGGclKoXquzPXOVNpS
2,2,32,chair,,175.95,IMAGELINKHERE,pDMdgIKMSeenrmHoQeBZapSbEiJFBLIaIWihLanNSOgsmkbMNVQrzqbzwAZTDTiIpreegM
3,3,475,necklace,,106.94,IMAGELINKHERE,oiDMXqdGnJAbxJaMAhSBVERWnTGUcaIhpISTfmoYCGNCBHrFxTGFuFQgFiygcEOyKkXLvp
4,4,426,nail polish,,30.61,IMAGELINKHERE,LkKSRoUgRcbYBprJYkvEDwXOdQtBmoIzTLPclTzWXwTCNeZIskBIdjoDKSSFezWmzxEtkH
5,5,216,water bottle,,260.57,IMAGELINKHERE,WeNLvVZbCHoaPctxMtsMHhFTZlnBuPtZkMmIWmvYTTstdMwriTPEjQWJiimruDbQaXbHQG
6,6,80,chair,,314.87,IMAGELINKHERE,oNfhtIuQcXdoBAVFbFJhUsrfyBMiBBJUFhkgUHJoiYtjhlSBxTRnTfKgBqGQLfdqERWnSJ
7,7,547,jeans,,267.66,IMAGELINKHERE,HFfsgiCgpyXFLSkgcbiyoHmwdAQUMEdMZwnsKJMeHoPxrfcrtFztqYbvClZSpNtfPHSRUk
8,8,599,t-shirt,,343.7,IMAGELINKHERE,tiwbxbrsLDLkNzzpWyTQsEsNSlEndLlpstMRqAKFnvnzKZaeAyTtYTvEvaxdlUTSDDJYPt
9,9,527,volleyball,,62.11,IMAGELINKHERE,mCTOYYnLSjwaNyOdYtjjmjMNEBxMQLaLBXnGyDVeILzGkiBsUsERYrLllAhopBTMKbEvrp
10,10,643,jeans,,269.85,IMAGELINKHERE,jBcFbvkjCsYckhgYgGSjKyXpvcPteLmikXlvKErzhxqeJfjLpCvIwFtwmburupyPVxpNcu
11,11,246,nail polish,,284.61,IMAGELINKHERE,gPxCvQmtrYsvuSpLJQEyBaSNYmIrLtXKxiLqcOYtnTqTxkHeNrlDJAQZIyOZizQIPbOrsk
12,12,160,nail polish,,120.27,IMAGELINKHERE,hZmdtpEXBazPPPHIDoDAHfSeOXvNyirMNSHLDezkRrQoNoskhFCRYTWCutjpIWVEPLyGpP
13,13,83,chair,,303.09,IMAGELINKHERE,sSxVRFDdcnWdKlABJZaIWgFLMJYVuCzABTORAuMvOIzaQGtRSUIPFzmGqqvzJXBHwvzbbP
14,14,263,volleyball,,288.25,IMAGELINKHERE,TJRabUgsgzxMVGXZePSBfvyaxPADmFPzSxcXQdXghmrYRkkUmhjoSrpbsTywPSGNiqKopW
15,15,622,chair,,20.45,IMAGELINKHERE,cGFDUlJwndSDADrvKNRMUGtyQsoRjZkMCumMUJMNCAkKPZXBtURsqdaaqRilzCnYQpcIYM
16,16,11,water bottle,,81.85,IMAGELINKHERE,iXvoHzuKeCWyjlpfvHslAjAVRAnOFShdXtZMuWNHhfrUeqpEjYDgcyqzuWNRYJkptoTkni
17,17,669,volleyball,,90.21,IMAGELINKHERE,cMXYRvgGZTIDYqWdatUjfkrqTJCoCnPNiEhNRXPaIxqDjjTlASRaAHdMSbVtXjJcajFWFN
18,18,334,necklace,,34.52,IMAGELINKHERE,ZWOhpAhqZmLWewTuHzYRBlpyZrbBDygNZlvxNbpDprIlQfuCLwdEkSwtxuCzXUZrwmYSLI
19,19,17,necklace,,302.44,IMAGELINKHERE,QNBCetcsLZooDDCXgkWhTqnRYYdWfnenLrAePksufcwMCwYBiPpMSFfJNvWVRxTAhBjJzp
